id,predicted_positions
970,"[8, 14, 16, 19, 22]"
971,"[1, 3, 13, 20, 22, 27, 28]"
972,"[5, 7, 17, 23]"
973,"[10, 17, 20, 28]"
974,"[2, 9, 14, 18, 20, 26]"
975,"[2, 9, 14, 16, 20, 23, 25, 28, 30]"
976,"[1, 4, 6, 11, 12, 19]"
977,"[3, 11]"
978,"[1, 4, 12, 20]"
979,"[1, 7, 12, 15]"
980,"[1, 6, 15, 20, 21]"
981,"[1, 8, 10, 16]"
982,"[2, 7]"
983,"[2, 7]"
984,"[1, 6, 14, 18, 23]"
985,"[2, 7, 8, 12, 13, 23]"
986,"[1, 6, 11, 12]"
987,"[1, 2, 10, 17, 20, 25, 27, 31]"
988,"[4, 13, 17, 23, 33]"
989,[]
990,"[2, 7]"
991,"[4, 6, 11]"
992,[16]
993,"[12, 17]"
994,"[1, 2, 10]"
995,"[8, 13, 14]"
996,"[6, 7, 9, 13, 20]"
997,"[6, 12]"
998,"[4, 8, 9, 13]"
999,[]
1000,"[1, 3]"
1001,"[6, 7, 10, 12]"
1002,"[5, 13, 19]"
1003,"[5, 6, 8, 19, 22]"
1004,"[6, 9, 12]"
